module	name	heures
2101	Anglais	40
2102	LV2	20
2103	Théories de l'information et de la com.	40
2104	Esthétique et expression artistique	25
2105	Ecriture pour les médias numériques	25
2106	Communication expression écrite et orale	30
2107	Gestion de projet	30
2108	PPP	20
2109	Environnement juridique, éco, mercatique	35
2110	Projet tutoré	0
2201	Culture scientifique et traitement de l'info.	45
2202	Algorithmique et développement web	45
2203	Bases de données	30
2204	Services sur réseaux	30
2205	Infographie	30
2206	Intégration web	45
2207	Production audiovisuelle	30
2208	Projet tutoré	0
